Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90031341,MMC- Clayton,4,0,0,4.043345546,0.084264334,0.086147984
90032676,Casey,6,0,0,6.045308434,0.019014666,0.048280632
90032705,MMC- Clayton,2,0,0,2.062336471,0.053329201,0.001045909
90032929,MMC- Clayton,5,0,0,5.056978073,0.018352394,0.005357566
90033661,Casey,3,0,0,3.068384287,0.030470774,0.094296571
90033661,Dandenong,4,0,0,4.038336423,0.030474165,0.047809932
90033661,MMC- Clayton,15,0,0,15.06776491,0.092837338,0.053929379
90033774,Dandenong,3,0,0,3.034937501,0.088853046,0.027558153
90033774,MMC- Clayton,26,0,0,26.04793658,0.093905314,0.043734379
90033803,MMC- Clayton,9,0,0,9.067585729,0.08523026,0.001797102
90034135,MMC- Clayton,6,0,0,6.073668252,0.007227651,0.018614128
90034329,Dandenong,2,0,0,2.049894479,-0.000530053,0.029783282
90034785,Casey,7,0,0,7.080584228,0.093069054,0.059224879
90034958,Casey,1,0,0,1.061375754,0.088252927,0.07975506
90035140,Casey,1,0,0,1.043715764,0.093180831,0.093204578
90035880,Dandenong,1,0,0,1.006134512,0.064990796,-0.002058531
90036519,MMC- Clayton,1,0,0,1.022796481,0.081986848,0.069094861
90037802,MMC- Clayton,4,0,0,4.084940048,0.027618302,0.023577288
90037850,Dandenong,2,0,0,2.041689509,0.086077532,0.047600098
90038386,Casey,5,0,0,4.996308196,0.086661323,0.081435317
90039000,Casey,7,0,0,7.080054127,0.030994985,0.010084463
90039000,Dandenong,2,0,0,2.038012297,0.04796762,0.054958667
90039551,Casey,9,0,0,9.067525126,0.000615072,0.02504184
90039551,Dandenong,1,0,0,1.049970246,0.033968172,-0.003709116
90039776,Casey,2,0,0,2.057247484,0.07396937,0.005479221
90040184,Dandenong,1,0,0,1.046368871,-0.003275718,0.006747516
90040371,MMC- Clayton,3,0,0,3.079774425,0.056721708,0.052380966
90040773,Dandenong,4,0,0,4.040402467,0.056784371,-0.001105134
90040881,Casey,6,0,0,6.080762467,0.039646341,0.065826426
90041374,Casey,1,0,0,1.089587701,0.019670869,0.041329542
90043227,MMC- Clayton,8,0,0,8.026236155,0.079739032,0.07614916
90043338,MMC- Clayton,8,0,0,8.09327615,0.024460949,0.043547016
90043759,Casey,6,0,0,6.085755372,0.063788991,0.02676219
90043890,Dandenong,1,0,0,1.027168049,0.075296638,0.020984327
90044135,Casey,14,0,0,14.06159154,0.050379297,0.093054849
90044868,Casey,8,0,0,8.024133729,0.084407483,0.005980668
90044868,Dandenong,2,0,0,2.060237912,0.090378914,0.029438449
90045378,MMC- Clayton,2,0,0,2.082709987,0.074452482,0.066926125
90046308,Casey,10,0,0,10.06512415,0.046726869,0.08093124
90046416,Casey,9,0,0,9.073175731,0.067609422,0.042996223
90047010,Dandenong,1,0,0,1.012130803,0.010496104,0.093816043
90047064,MMC- Clayton,1,0,0,0.995818302,0.067384452,0.05988492
90047604,Casey,2,0,0,2.005387587,-0.000441409,-0.001583587
90047937,Dandenong,1,0,0,1.073051307,0.043533174,-0.000663578
90048709,Casey,4,0,0,4.020164073,0.033288758,0.04327693
90048747,MMC- Clayton,3,0,0,3.009668646,0.06024445,0.073519436
90049188,Dandenong,8,0,0,8.056796101,0.034173105,0.089638838
90051139,Dandenong,9,0,0,9.073116622,0.035344566,0.064608017
90051548,MMC- Clayton,8,0,0,8.089715198,0.070963457,0.0207791
90052261,MMC- Clayton,4,0,0,4.001053687,0.082636229,0.023497074
90052270,MMC- Clayton,15,0,0,15.04638323,0.001383045,0.043991861
90052753,Casey,2,0,0,2.075240999,0.080155057,0.010740851
90052916,Dandenong,9,0,0,9.06157992,0.005202937,0.054004353
90052916,MMC- Clayton,6,0,0,6.05576896,0.056003044,0.089516428
90053104,Dandenong,3,0,0,3.063665815,0.025673594,0.003727339
90053409,Casey,9,0,0,9.030402112,0.036950682,0.084884114
90053418,Casey,1,0,0,1.078907136,0.03106279,0.080767012
90053418,Dandenong,1,0,0,1.059144231,0.07674582,0.08052185
90053715,Casey,8,0,0,8.050708307,0.007239333,0.077254059
90053753,MMC- Clayton,2,0,0,2.06906371,0.075696316,0.000364883
90054690,Casey,6,0,0,6.028931762,0.083196953,0.089660771
90054690,Dandenong,5,0,0,5.056410785,0.038753421,0.082121657
90055388,Casey,4,0,0,4.070402753,0.005606775,0.061405748
90055388,Dandenong,2,0,0,2.062668209,0.091288732,0.090882503
90056255,MMC- Clayton,2,0,0,2.003193325,0.075199629,0.087700541
90056621,Casey,4,0,0,4.044856349,0.060603479,0.07358146
90056621,Dandenong,5,0,0,5.024958713,0.033690829,0.049193002
90056792,Casey,6,0,0,6.037670397,0.031122564,0.02568284
90057408,Dandenong,5,0,0,5.013443692,0.081498564,0.017501874
90057415,Casey,3,0,0,3.064825505,0.027012547,0.005117527
90057415,MMC- Clayton,2,0,0,2.000529094,0.091222181,0.032547853
90057890,Dandenong,1,0,0,1.012228396,0.004457447,0.056867257
90058180,MMC- Clayton,3,0,0,3.070399785,0.092615051,0.067250464
90058333,MMC- Clayton,3,0,0,3.076754086,0.055913075,0.042179325
90058786,Dandenong,1,0,0,1.003719885,0.009342181,0.041264378
90059584,Casey,1,0,0,1.07656001,0.013682481,0.052564981
90059584,Dandenong,3,0,0,3.055930525,-0.002727075,0.000372115
90059584,MMC- Clayton,20,0,0,20.00936011,0.040718123,0.071770601
90059876,MMC- Clayton,1,0,0,1.073043257,-0.001684642,0.007868963
90060546,MMC- Clayton,1,0,0,1.03444674,0.093493588,0.023057108
90060746,Casey,4,0,0,4.081569437,0.027516925,0.038843248
