Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90031341,MMC- Clayton,4,0,0,4.001704335,0.055416101,0.046192066
90032676,Casey,6,0,0,6.004532402,0.027488736,0.040693344
90032705,MMC- Clayton,2,0,0,2.002765389,0.010366437,0.090326169
90032929,MMC- Clayton,5,0,0,5.007362033,0.02195309,0.050768368
90033661,Casey,3,0,0,3.009752591,0.006057434,0.073019517
90033661,Dandenong,4,0,0,4.003640897,0.024086872,0.051532667
90033661,MMC- Clayton,15,0,0,15.0090258,0.037521861,0.037975073
90033774,Dandenong,3,0,0,3.001863016,0.048969919,0.019205122
90033774,MMC- Clayton,26,1,3,26.00665766,0.999341624,3.063791025
90033803,MMC- Clayton,9,0,0,9.001384173,0.038061427,0.09185242
90034135,MMC- Clayton,6,0,0,6.006616938,0.051105553,0.032544326
90034329,Dandenong,2,0,0,2.002128386,0.065408484,0.039432228
90034785,Casey,7,0,0,7.000784275,0.092574455,0.004756918
90034958,Casey,1,0,0,1.004533904,0.09399792,0.06698652
90035140,Casey,1,0,0,1.002199447,0.059693106,0.078482468
90035880,Dandenong,1,0,0,1.00397056,0.065882068,0.033864789
90036519,MMC- Clayton,1,0,0,1.005028071,0.034065901,0.056991815
90037802,MMC- Clayton,4,0,0,4.002629414,0.032081726,0.087442356
90037850,Dandenong,2,0,0,2.005572777,0.022801976,0.003502239
90038386,Casey,5,0,0,5.00899262,0.038026091,0.017501716
90039000,Casey,7,0,0,7.000373481,0.005560046,0.020796413
90039000,Dandenong,2,0,0,2.006464937,0.045880687,0.07252688
90039551,Casey,9,0,0,9.005792027,0.002266971,0.070562202
90039551,Dandenong,1,0,0,1.008065186,0.075243198,0.08730705
90039776,Casey,2,0,0,2.006489233,-0.003697002,0.018617335
90040184,Dandenong,1,0,0,1.007819051,0.063491862,0.082762919
90040371,MMC- Clayton,3,0,0,3.002837871,0.087657683,0.001653355
90040773,Dandenong,4,0,0,4.001139259,0.029905289,0.058168403
90040881,Casey,6,0,0,6.002961865,0.058307605,0.080924747
90041374,Casey,1,0,0,1.009388503,0.03438568,0.029451392
90043227,MMC- Clayton,8,0,0,8.006623957,0.074015968,0.015163812
90043338,MMC- Clayton,8,1,12,8.003288854,1.077001824,12.01890025
90043759,Casey,6,0,0,6.004894145,0.027811432,0.031747875
90043890,Dandenong,1,0,0,1.005776276,0.007265094,0.061178604
90044135,Casey,14,1,7,14.00741686,0.995195196,7.030415281
90044868,Casey,8,0,0,8.004819213,0.070147594,-0.003458697
90044868,Dandenong,2,0,0,2.007493836,-0.004941926,0.056101123
90045378,MMC- Clayton,2,0,0,2.009208949,-0.001139522,0.05514343
90046308,Casey,10,0,0,10.00685229,0.017678114,0.088382429
90046416,Casey,9,0,0,9.002932962,0.07091864,0.025757402
90047010,Dandenong,1,0,0,1.009805325,0.045228129,0.077484432
90047064,MMC- Clayton,1,0,0,1.002045089,0.012585934,0.025245356
90047604,Casey,2,0,0,2.0049839,0.092562233,0.013888216
90047937,Dandenong,1,0,0,1.004887015,0.039113478,0.021059449
90048709,Casey,4,0,0,4.006363398,0.0394663,0.053934928
90048747,MMC- Clayton,3,0,0,3.000421932,0.069265975,0.07557031
90049188,Dandenong,8,0,0,8.008403139,0.066281232,0.055218327
90051139,Dandenong,9,0,0,9.003450644,0.078318151,0.040584863
90051548,MMC- Clayton,8,0,0,8.002517369,0.010087507,0.089468923
90052261,MMC- Clayton,4,0,0,4.009416358,-0.00156056,0.006318732
90052270,MMC- Clayton,15,0,0,15.00605308,0.038859002,0.023946498
90052753,Casey,2,0,0,2.003473785,0.01277093,0.046753318
90052916,Dandenong,9,0,0,9.003805575,0.080771938,0.003617443
90052916,MMC- Clayton,6,0,0,6.009037585,0.049037317,0.073321861
90053104,Dandenong,3,1,33,3.007093469,1.011761944,32.9980017
90053409,Casey,9,0,0,9.00002696,0.080589541,0.006771177
90053418,Casey,1,0,0,1.008936084,-0.001811274,0.080310135
90053418,Dandenong,1,0,0,1.000579434,0.001994128,0.07121061
90053715,Casey,8,0,0,8.002692786,0.058265921,-0.004132284
90053753,MMC- Clayton,2,0,0,2.002411628,0.018267337,0.038456659
90054690,Casey,6,0,0,6.008934894,0.005880263,0.015929989
90054690,Dandenong,5,0,0,5.007044996,0.019267087,0.047911507
90055388,Casey,4,0,0,4.005028775,0.062223764,0.060298221
90055388,Dandenong,2,0,0,2.004789754,0.042093055,0.042298314
90056255,MMC- Clayton,2,0,0,2.009007125,0.085505915,0.027032409
90056621,Casey,4,0,0,4.00025766,0.052184627,0.063596803
90056621,Dandenong,5,0,0,5.009100119,0.042767992,0.088657022
90056792,Casey,6,0,0,6.002950237,0.002884608,0.037657167
90057408,Dandenong,5,0,0,5.007193284,0.011658986,0.062292463
90057415,Casey,3,0,0,3.004861847,0.060564995,0.059799458
90057415,MMC- Clayton,2,0,0,2.001120892,0.054209167,0.054752476
90057890,Dandenong,1,0,0,1.006882885,0.06448711,0.074087699
90058180,MMC- Clayton,3,0,0,3.002014493,0.055108252,0.092736367
90058333,MMC- Clayton,3,0,0,3.006778866,0.061636945,0.034516811
90058786,Dandenong,1,0,0,1.005432232,0.021309969,0.052156363
90059584,Casey,1,0,0,1.002346684,0.083589359,0.03402221
90059584,Dandenong,3,1,33,3.007795148,1.02845139,33.04396409
90059584,MMC- Clayton,20,0,0,20.00327617,0.067165564,-0.00319513
90059876,MMC- Clayton,1,0,0,1.009403039,0.069464188,0.084751668
90060546,MMC- Clayton,1,0,0,1.006632582,0.053144474,0.022832616
90060746,Casey,4,0,0,4.004503267,-0.00442665,0.035578214
90060945,Casey,1,0,0,1.003670801,0.057981373,0.08092382
90060945,Dandenong,6,0,0,6.006223926,0.089918457,0.047335299
90060950,Dandenong,1,0,0,1.004201511,0.043097522,0.004175824
90060950,MMC- Clayton,7,0,0,7.008224033,0.035283239,0.063156506
90061220,Casey,5,0,0,5.000983808,0.047366811,0.023750334
90061220,MMC- Clayton,7,0,0,7.004335347,0.05976944,0.039488071
90062205,MMC- Clayton,38,0,0,38.00586092,0.062014081,0.059101024
90063200,Casey,8,0,0,8.004611119,0.080624168,0.034970659
90064512,Casey,10,0,0,10.00693475,0.09447561,0.02775697
90066524,MMC- Clayton,18,0,0,18.00693317,0.020460342,0.09493332
90068267,Dandenong,12,0,0,12.00492162,0.002567602,-0.001484018
90068451,Dandenong,4,0,0,4.001878814,0.067736286,0.087722327
90069969,Casey,4,0,0,4.008540072,0.029400397,0.075730502
90070093,MMC- Clayton,21,0,0,21.00301574,0.009641312,0.015139468
90070899,Casey,1,0,0,1.003556443,0.049412939,0.050435279
90071350,Dandenong,3,0,0,3.004524777,0.087592689,0.001558343
90071662,Casey,9,0,0,9.001396009,0.012562141,0.042426484
90071914,Casey,4,0,0,4.005474009,0.083591057,0.088764417
90072373,Dandenong,3,0,0,3.005815286,0.068608503,0.080974261
90072373,MMC- Clayton,10,1,10,10.00756139,1.067236796,10.08653807
90074347,Casey,5,2,40,5.0084357,2.054197378,40.00909396
90074642,Dandenong,1,0,0,1.008294317,0.063521457,0.074826004
90074642,MMC- Clayton,2,0,0,2.000291191,0.064280394,0.034115546
