Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90031341,MMC- Clayton,4,0,0,3.999502662,0.035329673,0.067862323
90032676,Casey,6,1,16,6.005252891,1.066950824,16.04037328
90032705,MMC- Clayton,2,0,0,2.007416307,0.002880144,0.061566691
90032929,MMC- Clayton,5,0,0,5.009304623,0.072431616,0.035248137
90033661,Casey,3,0,0,3.002195724,0.002968489,0.019766765
90033661,Dandenong,4,0,0,4.005826981,0.023128352,0.035549946
90033661,MMC- Clayton,15,0,0,15.00826864,0.01566518,0.006257611
90033774,Dandenong,3,0,0,3.008892095,0.074542541,0.079429801
90033774,MMC- Clayton,26,0,0,26.00836329,0.016849422,0.002740659
90033803,MMC- Clayton,9,0,0,9.00428729,0.072657079,0.019676139
90034135,MMC- Clayton,6,0,0,6.000787027,0.05372704,0.021184684
90034329,Dandenong,2,0,0,2.005967247,0.000951676,0.031358127
90034785,Casey,7,0,0,7.009122414,0.03095476,0.048787804
90034958,Casey,1,0,0,1.005200481,0.05239851,0.013828359
90035140,Casey,1,0,0,1.00070197,0.017985935,0.068315452
90035880,Dandenong,1,0,0,1.007977242,0.064679951,0.069776477
90036519,MMC- Clayton,1,0,0,1.007766881,0.014471442,0.026991391
90037802,MMC- Clayton,4,0,0,4.005872315,0.037730851,0.073406625
90037850,Dandenong,2,0,0,2.001735137,0.033208574,0.03689417
90038386,Casey,5,1,20,5.006057568,1.091188667,20.02495219
90039000,Casey,7,0,0,7.008936509,0.066271765,0.02165571
90039000,Dandenong,2,0,0,2.007742446,0.047769636,0.035787544
90039551,Casey,9,1,11,9.002791112,1.046380889,11.05686616
90039551,Dandenong,1,0,0,1.000022233,0.069819708,0.049715558
90039776,Casey,2,0,0,2.006380942,0.012706455,0.040311022
90040184,Dandenong,1,0,0,1.003354399,0.014175997,0.078128551
90040371,MMC- Clayton,3,0,0,3.002081545,0.084752568,0.084512408
90040773,Dandenong,4,1,25,4.006626726,1.013658424,25.06567329
90040881,Casey,6,0,0,6.005779611,0.026891649,0.038667377
90041374,Casey,1,0,0,1.00460814,0.012395093,0.076887322
90043227,MMC- Clayton,8,0,0,8.005195033,0.073173761,0.038838371
90043338,MMC- Clayton,8,0,0,8.001363441,0.005673992,0.091414803
90043759,Casey,6,0,0,6.001912324,0.022530097,0.023346303
90043890,Dandenong,1,0,0,1.009440813,0.055560466,0.044051749
90044135,Casey,14,2,14,14.00562672,2.087953172,14.09227105
90044868,Casey,8,0,0,8.009301536,0.078421508,0.011564305
90044868,Dandenong,2,0,0,2.004526362,0.038074169,0.028145495
90045378,MMC- Clayton,2,0,0,2.000487225,0.057700286,0.043126557
90046308,Casey,10,2,20,10.00364495,2.022082842,20.07511375
90046416,Casey,9,0,0,9.008622028,0.016155598,0.061983494
90047010,Dandenong,1,0,0,1.00948106,0.085713355,0.031453409
90047064,MMC- Clayton,1,0,0,1.002218584,0.02928439,0.043682941
90047604,Casey,2,0,0,2.00647709,0.009664857,-0.001043702
90047937,Dandenong,1,0,0,1.003083548,0.053984568,0.005894428
90048709,Casey,4,1,25,4.001061385,1.010588373,25.07009308
90048747,MMC- Clayton,3,0,0,3.003742468,0.08886631,0.046687338
90049188,Dandenong,8,1,12,7.999732611,1.070467338,12.04572842
90051139,Dandenong,9,1,11,9.001194619,1.054042797,11.01451973
90051548,MMC- Clayton,8,1,12,8.005171134,1.068409981,12.06227893
90052261,MMC- Clayton,4,0,0,4.004490834,0.059730631,0.028806758
90052270,MMC- Clayton,15,0,0,15.00173297,0.045469519,0.004809916
90052753,Casey,2,0,0,1.999703204,-0.003342907,0.072524314
90052916,Dandenong,9,0,0,9.001476863,0.091792019,0.037801741
90052916,MMC- Clayton,6,0,0,6.000613208,0.053655728,0.03800717
90053104,Dandenong,3,1,33,3.002461515,1.031661261,33.00270016
90053409,Casey,9,0,0,9.002258463,0.019709466,0.002883389
90053418,Casey,1,0,0,1.008698868,0.040160847,0.033767466
90053418,Dandenong,1,0,0,1.002245713,0.04118178,0.092271038
90053715,Casey,8,0,0,8.0044249,0.048688406,0.067944539
90053753,MMC- Clayton,2,0,0,2.009352641,0.012458445,0.011748084
90054690,Casey,6,0,0,6.008123543,0.035816274,0.006589551
90054690,Dandenong,5,0,0,5.009472433,0.025669501,0.049948197
90055388,Casey,4,0,0,4.00868897,0.09123493,0.016644302
90055388,Dandenong,2,0,0,2.004151368,0.070744602,0.008356105
90056255,MMC- Clayton,2,0,0,2.003943452,0.090561761,0.05064123
90056621,Casey,4,0,0,4.008570193,0.05259572,0.008555345
90056621,Dandenong,5,0,0,5.003546149,0.0548469,0.065611377
90056792,Casey,6,0,0,6.003490544,0.041789733,0.075758488
90057408,Dandenong,5,1,20,5.003991591,1.077224756,20.05801847
90057415,Casey,3,1,33,3.001019645,1.048588098,32.99788903
90057415,MMC- Clayton,2,0,0,2.005504939,0.062721852,0.07742036
90057890,Dandenong,1,0,0,1.007954851,0.080407122,0.065709804
90058180,MMC- Clayton,3,0,0,2.999968431,0.039125258,0.048408363
90058333,MMC- Clayton,3,0,0,3.007257742,0.028087446,0.043254964
90058786,Dandenong,1,0,0,1.004903465,0.011881522,0.028977199
90059584,Casey,1,0,0,1.005487613,0.094746136,0.063879431
90059584,Dandenong,3,1,33,3.008261501,1.076295873,33.03476525
90059584,MMC- Clayton,20,2,10,20.0078793,2.092352183,10.08258925
90059876,MMC- Clayton,1,0,0,1.003073434,0.002956678,0.02251014
90060546,MMC- Clayton,1,0,0,1.008467356,0.065372031,0.008451105
90060746,Casey,4,0,0,4.0024534,0.006155068,0.028570607
90060945,Casey,1,0,0,0.999919883,0.000861153,0.092018059
90060945,Dandenong,6,0,0,6.003424859,0.053580698,0.077859184
90060950,Dandenong,1,0,0,1.000940398,0.043958839,0.092714621
90060950,MMC- Clayton,7,0,0,7.005581554,0.04786749,0.029660183
90061220,Casey,5,0,0,5.000041644,0.004751202,0.025816405
90061220,MMC- Clayton,7,0,0,7.009297442,-0.004186031,0.084183576
90062205,MMC- Clayton,38,0,0,38.00050792,0.045211735,0.064188665
90063200,Casey,8,0,0,8.008103486,0.091567776,0.09368696
90064512,Casey,10,0,0,10.00571524,0.051696774,0.019639698
90066524,MMC- Clayton,18,0,0,18.00891776,0.055246504,0.080711856
90068267,Dandenong,12,0,0,11.99965495,0.036314815,0.035944845
90068451,Dandenong,4,0,0,4.008145778,0.026103035,0.067854906
90069969,Casey,4,0,0,4.009164112,0.068749213,0.089671624
90070093,MMC- Clayton,21,1,4,21.00250237,1.083086685,4.068060385
90070899,Casey,1,0,0,0.999680918,0.02048845,0.048037993
90071350,Dandenong,3,0,0,3.005997581,0.094082923,0.032105947
90071662,Casey,9,0,0,9.001723284,0.035945406,0.035066488
90071914,Casey,4,1,25,4.00753976,1.073570857,25.06008035
90072373,Dandenong,3,1,33,3.004560378,1.051837021,33.04285261
90072373,MMC- Clayton,10,2,20,10.00209618,2.014392009,20.02102712
90074347,Casey,5,0,0,5.008190068,0.058612392,0.014813954
90074642,Dandenong,1,0,0,1.008836462,0.05509598,0.050346621
90074642,MMC- Clayton,2,0,0,2.007547497,0.083805703,0.060345494
90074963,Casey,4,1,25,4.002614484,1.009055795,25.01152606
90075008,MMC- Clayton,22,0,0,22.00323942,0.07026692,0.066195232
90075334,MMC- Clayton,13,0,0,13.00661233,0.006482904,0.019219962
90075767,Casey,4,0,0,4.002122716,0.024107053,0.007736291
90075767,Dandenong,3,0,0,3.005543596,0.041465786,0.021965268
90075796,MMC- Clayton,4,0,0,4.005787191,0.053649172,0.011715602
90076316,Casey,3,0,0,3.009346464,0.023060721,0.084270463
90076316,Dandenong,3,0,0,3.004244191,0.069168709,0.059806185
90076693,MMC- Clayton,8,0,0,8.004903537,0.073373062,0.043741191
90076797,MMC- Clayton,2,0,0,2.001806292,0.06235268,0.033020547
90077401,MMC- Clayton,18,1,5,18.00633897,1.073642313,5.047871908
90077628,Casey,12,1,8,12.00249968,1.011797735,8.018655431
90077920,MMC- Clayton,1,0,0,1.00589035,0.055398676,0.092421065
90078071,MMC- Clayton,14,0,0,14.00725742,0.054953378,0.063015724
90078140,Casey,4,0,0,4.003725452,0.005962874,0.093845074
90078263,Casey,7,0,0,7.005785785,0.0839208,0.034795134
90078705,MMC- Clayton,21,2,9,21.00889313,2.021353952,8.997192747
90078787,MMC- Clayton,3,0,0,3.004269138,0.009631734,0.067295831
90078814,Casey,2,0,0,2.008689485,0.018835688,0.06943347
90078814,MMC- Clayton,6,1,16,6.001333428,1.039388176,16.08244592
90079400,Casey,1,0,0,1.00371674,0.075277811,0.009325982
90079546,MMC- Clayton,15,0,0,15.00699047,-0.002996007,0.08443756
90080314,Dandenong,2,1,50,2.003526595,0.999260972,50.06395092
90080314,MMC- Clayton,3,1,33,3.009488546,1.08882374,33.02618296
90080745,MMC- Clayton,8,0,0,8.005974339,0.076998495,0.045883464
90081325,MMC- Clayton,32,1,3,32.00326615,0.999972658,3.051813021
90081556,MMC- Clayton,5,0,0,5.00806261,0.082332249,0.081992299
90081588,MMC- Clayton,1,0,0,1.000136744,-0.003322159,0.083040113
90081957,Dandenong,1,0,0,1.005837782,0.012214579,0.032420848
90081957,MMC- Clayton,14,0,0,14.00471868,0.031281084,0.010670121
90082317,Dandenong,4,0,0,4.007732721,0.050753128,0.011408894
90082317,MMC- Clayton,8,0,0,8.0040116,0.077543593,0.013821756
90082515,Casey,15,1,6,15.00789937,1.082091346,6.035557463
90082515,Dandenong,3,0,0,3.005999242,0.091639781,0.059289827
90082524,Casey,2,0,0,2.008395923,0.03150218,0.082914064
90082606,MMC- Clayton,1,0,0,1.008492592,-0.000740488,0.031362104
90082724,Casey,15,0,0,15.00115777,0.045778477,0.094581783
90083027,Casey,7,0,0,7.006295919,0.067692678,0.065424006
90083027,MMC- Clayton,11,0,0,11.00577698,0.047053159,0.014182991
90083180,Casey,7,1,14,7.0076165,1.057968266,14.02736193
90083180,Dandenong,4,0,0,4.002524835,0.035317484,0.08188928
90083199,Dandenong,4,0,0,4.00887656,0.084945332,0.06075071
90083266,MMC- Clayton,29,0,0,29.00810094,0.060502516,0.021640956
90085012,Casey,4,0,0,4.00289766,0.025755332,0.042492298
