Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_target,jitter_percentage
90077401,18,MMC- Clayton,2,11,18.00078884,1.999454657,11.00038076
90077920,1,MMC- Clayton,0,0,0.996339945,-0.004180704,0.003434099
90078071,14,MMC- Clayton,1,7,13.99619828,1.004841238,6.997248658
90078705,21,MMC- Clayton,1,4,21.00260966,0.997512707,4.004634147
90078787,3,MMC- Clayton,1,33,2.996267141,1.002749604,32.99792735
90078814,6,MMC- Clayton,0,0,6.002597964,-0.002275787,-0.003757381
90079546,15,MMC- Clayton,0,0,15.00251445,-0.003935526,-0.001141228
90080314,3,MMC- Clayton,0,0,3.002682203,0.001720627,0.000641552
90080745,8,MMC- Clayton,0,0,8.004966746,0.004579319,-0.001502725
90081325,32,MMC- Clayton,1,3,31.99894218,1.002080763,2.995529167
90081556,5,MMC- Clayton,0,0,5.00443216,0.003115684,-0.00310319
90081588,1,MMC- Clayton,0,0,0.999185903,0.002757466,-0.003752642
90081957,14,MMC- Clayton,0,0,14.00282069,3.25595E-05,-0.001666778
90082317,8,MMC- Clayton,0,0,8.00403964,0.000875412,0.003585083
90082606,1,MMC- Clayton,0,0,0.995178426,0.00476794,0.00447602
90083027,11,MMC- Clayton,0,0,11.00078529,-0.001983741,0.002529031
90083266,29,MMC- Clayton,2,6,29.0048414,1.996533145,5.995264752
90085043,3,MMC- Clayton,0,0,3.004314872,-0.002290293,-0.003868976
90085898,11,MMC- Clayton,1,9,10.99880087,1.001074198,9.001055274
90086088,4,MMC- Clayton,0,0,4.004278359,0.002125451,-0.00323937
90086232,3,MMC- Clayton,1,33,3.001421847,1.001792042,33.00473982
90091034,2,MMC- Clayton,0,0,1.998915143,-0.000905712,0.003116127
90093120,7,MMC- Clayton,1,14,7.003021386,1.00478306,14.00302959
90093190,2,MMC- Clayton,0,0,1.998606105,0.003271071,-0.00286765
90093516,6,MMC- Clayton,0,0,5.997766216,0.001193629,-0.000298962
90094126,8,MMC- Clayton,0,0,8.00037281,0.004009754,-0.004109085
90094427,15,MMC- Clayton,1,6,14.99641833,0.998507051,5.995586482
90096616,8,MMC- Clayton,1,12,7.997417256,0.996992594,11.99876229
90096638,1,MMC- Clayton,0,0,0.995155294,0.002473387,-0.000262244
90097823,4,MMC- Clayton,0,0,4.000809219,-0.002448268,-0.00060057
