Treating.Clinician,Number of Patients Seen,Number of Patients Seen ibuprofen,Proportion ibuprofen,Hospital,ibuprofen_percentage,jitter_Number of Patients Seen,jitter_Proportion_ibuprofen,jitter_ibuprofen_percentage
90124585,15,1,0.07,MMC- Clayton,7,15.00834755,0.063230573,6.323057262
90124621,37,1,0.03,MMC- Clayton,3,37.00841842,0.038107953,3.810795284
90124637,6,1,0.17,MMC- Clayton,17,5.990610362,0.164083485,16.40834848
90124682,8,1,0.13,MMC- Clayton,13,7.991491301,0.128466577,12.84665774
90140139,5,1,0.2,MMC- Clayton,20,4.991942413,0.202127168,20.21271682
90141235,6,1,0.17,MMC- Clayton,17,5.99914647,0.169113374,16.91133741
90142824,17,1,0.06,MMC- Clayton,6,16.99260318,0.054307253,5.430725285
90142841,4,1,0.25,MMC- Clayton,25,4.008765983,0.246592914,24.65929141
90144607,8,1,0.13,MMC- Clayton,13,7.999255816,0.132397001,13.23970013
90144911,5,1,0.2,MMC- Clayton,20,5.005467627,0.200535968,20.05359684
90145408,12,1,0.08,MMC- Clayton,8,12.00056749,0.085677603,8.56776031
90145738,19,1,0.05,MMC- Clayton,5,19.00018981,0.046291391,4.629139115
90148355,14,1,0.07,MMC- Clayton,7,14.0076285,0.075736155,7.573615512
90148809,3,1,0.33,MMC- Clayton,33,2.995639192,0.321968341,32.19683414
90149605,17,1,0.06,MMC- Clayton,6,16.99472297,0.059290199,5.929019926
90153195,5,1,0.2,MMC- Clayton,20,4.999963246,0.198742828,19.87428279
90160621,10,1,0.1,MMC- Clayton,10,10.00604897,0.096579985,9.657998517
90160636,2,1,0.5,MMC- Clayton,50,1.993489783,0.5025821,50.25820996
90161376,5,1,0.2,MMC- Clayton,20,4.993398662,0.204642428,20.4642428
90162080,5,1,0.2,MMC- Clayton,20,4.995829505,0.198268791,19.82687912
90000541,3,0,0,MMC- Clayton,0,3.002090621,0.007811841,0.781184115
90000821,2,0,0,MMC- Clayton,0,2.004589135,-0.005438336,-0.543833638
90002178,16,0,0,MMC- Clayton,0,15.99469956,0.005665742,0.566574208
90002776,5,0,0,MMC- Clayton,0,5.004326777,0.009229926,0.922992636
90003263,1,0,0,MMC- Clayton,0,1.001642453,-0.000898547,-0.089854722
90003332,2,0,0,MMC- Clayton,0,2.00366085,-0.00100927,-0.100927015
90003338,1,0,0,MMC- Clayton,0,0.999078864,-0.003725752,-0.372575163
90003645,6,0,0,MMC- Clayton,0,6.005996835,-0.007293608,-0.729360828
90003721,4,0,0,MMC- Clayton,0,3.999248517,0.000228058,0.022805796
90003723,6,0,0,MMC- Clayton,0,6.008399827,-0.001226418,-0.122641829
90003932,2,0,0,MMC- Clayton,0,2.001678911,0.003463331,0.346333127
90004253,1,0,0,MMC- Clayton,0,1.007772115,0.00627956,0.627955956
90004467,2,0,0,MMC- Clayton,0,2.005283474,-0.00921124,-0.921124036
90004510,2,0,0,MMC- Clayton,0,1.996917073,-0.007845923,-0.784592277
90004546,10,0,0,MMC- Clayton,0,10.00805961,0.0054226,0.542260015
90004628,11,0,0,MMC- Clayton,0,11.00911864,-0.000653342,-0.065334217
90004881,1,0,0,MMC- Clayton,0,1.004447957,-0.004966059,-0.496605852
90004900,2,0,0,MMC- Clayton,0,2.002938945,0.009217008,0.92170075
90004908,2,0,0,MMC- Clayton,0,1.993899273,-0.000860128,-0.086012752
90005132,2,0,0,MMC- Clayton,0,1.992439281,-0.004179739,-0.417973908
90005187,3,0,0,MMC- Clayton,0,3.00018017,-0.000252597,-0.025259656
90005201,10,0,0,MMC- Clayton,0,9.993663464,0.008700548,0.870054803
90005205,1,0,0,MMC- Clayton,0,0.990639346,-0.005250929,-0.525092888
90005292,1,0,0,MMC- Clayton,0,1.007612826,0.007485782,0.748578232
90007275,10,0,0,MMC- Clayton,0,9.996890127,0.000268954,0.026895376
90010158,22,0,0,MMC- Clayton,0,21.99343148,0.002188806,0.218880575
90010538,2,0,0,MMC- Clayton,0,2.002538216,-0.008759654,-0.875965357
90012203,5,0,0,MMC- Clayton,0,5.006722177,-0.004250333,-0.425033307
90013598,4,0,0,MMC- Clayton,0,3.993831375,-0.006724784,-0.672478357
90014525,2,0,0,MMC- Clayton,0,1.992661024,0.00099992,0.09999199
90015901,5,0,0,MMC- Clayton,0,5.005110295,-0.008253863,-0.825386294
90016143,1,0,0,MMC- Clayton,0,1.008345659,0.000796879,0.079687865
90020817,3,0,0,MMC- Clayton,0,2.994260822,0.002579295,0.257929466
90020953,1,0,0,MMC- Clayton,0,1.002298071,-0.003453173,-0.345317255
90025896,1,0,0,MMC- Clayton,0,1.002562433,-0.00076599,-0.076599032
90028082,3,0,0,MMC- Clayton,0,3.004528377,-0.000148805,-0.014880502
90028087,6,0,0,MMC- Clayton,0,5.996449854,0.005617057,0.561705723
90031199,2,0,0,MMC- Clayton,0,1.992217717,0.004588606,0.458860567
90031341,26,0,0,MMC- Clayton,0,26.00991298,-0.007033282,-0.703328201
90033661,19,0,0,MMC- Clayton,0,19.00185882,-0.00333269,-0.333269022
90036294,2,0,0,MMC- Clayton,0,2.006121785,0.003694732,0.369473188
90037802,8,0,0,MMC- Clayton,0,7.999113089,-0.001605154,-0.160515404
90040004,19,0,0,MMC- Clayton,0,18.99705253,0.007895933,0.789593295
90043858,4,0,0,MMC- Clayton,0,4.007793655,-0.003978397,-0.397839656
90044101,5,0,0,MMC- Clayton,0,5.005530426,0.009367676,0.936767589
90044868,1,0,0,MMC- Clayton,0,0.996190924,-0.00512814,-0.512814016
90047064,1,0,0,MMC- Clayton,0,1.005713091,-0.008028327,-0.8028327
90049430,5,0,0,MMC- Clayton,0,4.99433765,-0.004024533,-0.40245333
90051548,16,0,0,MMC- Clayton,0,15.99443444,0.005041422,0.504142183
90052261,15,0,0,MMC- Clayton,0,14.99609355,-0.007065415,-0.706541494
90052734,2,0,0,MMC- Clayton,0,2.00207569,0.00869976,0.869976042
90053418,2,0,0,MMC- Clayton,0,2.001287052,0.00227547,0.227546999
90056255,11,0,0,MMC- Clayton,0,10.9966326,-0.007595198,-0.759519773
90057250,1,0,0,MMC- Clayton,0,1.004347084,0.001755362,0.175536161
90057415,3,0,0,MMC- Clayton,0,3.003014075,-0.000998912,-0.099891225
90058180,4,0,0,MMC- Clayton,0,4.000519626,0.002448199,0.244819915
90059331,7,0,0,MMC- Clayton,0,7.006338167,0.004892454,0.489245395
90059876,1,0,0,MMC- Clayton,0,1.004980809,-0.000607471,-0.060747092
90060546,4,0,0,MMC- Clayton,0,3.999863959,-0.00615184,-0.61518404
90060945,1,0,0,MMC- Clayton,0,0.996507157,-0.008684354,-0.868435422
90071914,1,0,0,MMC- Clayton,0,1.009372576,-0.005633979,-0.563397892
90076693,11,0,0,MMC- Clayton,0,11.00310383,0.008449527,0.84495265
90078787,4,0,0,MMC- Clayton,0,4.002873826,-0.004027858,-0.402785828
90080314,3,0,0,MMC- Clayton,0,3.000720154,0.002402539,0.240253864
90081588,2,0,0,MMC- Clayton,0,1.996816579,0.005377975,0.537797538
90082515,7,0,0,MMC- Clayton,0,7.003496001,-0.001020955,-0.102095465
90082606,3,0,0,MMC- Clayton,0,2.998782029,0.001612492,0.161249219
90086232,5,0,0,MMC- Clayton,0,5.005055714,-0.007921041,-0.792104123
90088695,3,0,0,MMC- Clayton,0,2.995265432,-0.003998382,-0.399838215
90091034,2,0,0,MMC- Clayton,0,1.991965452,-0.00026553,-0.026552963
90094126,22,0,0,MMC- Clayton,0,22.00139617,0.008412881,0.841288115
90096638,7,0,0,MMC- Clayton,0,7.009561087,-0.002362524,-0.23625241
90097777,2,0,0,MMC- Clayton,0,1.998733254,-0.004343283,-0.43432835
90098792,6,0,0,MMC- Clayton,0,6.002442191,0.005836406,0.583640569
90099597,1,0,0,MMC- Clayton,0,0.999147835,-0.00844539,-0.844539004
90102464,1,0,0,MMC- Clayton,0,0.996745374,0.007934467,0.793446713
90103211,1,0,0,MMC- Clayton,0,1.006357938,-0.001215205,-0.121520484
90103318,5,0,0,MMC- Clayton,0,4.999316954,0.00099333,0.09933299
90104966,2,0,0,MMC- Clayton,0,2.004703453,-0.00268714,-0.268714019
90104983,8,0,0,MMC- Clayton,0,7.992414613,-0.004121312,-0.412131196
90108552,4,0,0,MMC- Clayton,0,3.991893239,-0.008650296,-0.865029563
90109179,6,0,0,MMC- Clayton,0,6.002654689,0.004654557,0.465455728
90110663,2,0,0,MMC- Clayton,0,1.992057185,-0.004960874,-0.496087355
90111104,1,0,0,MMC- Clayton,0,0.995851961,0.003106762,0.310676246
90111201,11,0,0,MMC- Clayton,0,11.00102702,-0.008436997,-0.843699743
90111262,1,0,0,MMC- Clayton,0,1.001147764,-0.002838603,-0.283860258
90111349,1,0,0,MMC- Clayton,0,1.004098703,0.008917919,0.891791869
90112537,1,0,0,MMC- Clayton,0,0.995195427,-0.004480935,-0.448093523
90113108,14,0,0,MMC- Clayton,0,14.00666594,0.000814715,0.08147152
90114450,5,0,0,MMC- Clayton,0,4.997843838,-0.005098942,-0.509894198
90115768,4,0,0,MMC- Clayton,0,4.007170885,0.001977141,0.197714065
90117588,13,0,0,MMC- Clayton,0,12.99803306,-0.003225323,-0.322532302
90117635,1,0,0,MMC- Clayton,0,1.001173266,-0.004189184,-0.418918397
90119011,1,0,0,MMC- Clayton,0,0.995341714,-0.002106743,-0.210674316
90119823,20,0,0,MMC- Clayton,0,20.00517535,-0.008366989,-0.836698931
90119848,6,0,0,MMC- Clayton,0,6.002559591,0.009719498,0.971949814
90119859,3,0,0,MMC- Clayton,0,3.00222964,0.009287084,0.928708377
90119860,4,0,0,MMC- Clayton,0,3.990880888,0.000498847,0.049884678
90119901,11,0,0,MMC- Clayton,0,10.99406822,-0.004385859,-0.438585947
90123243,1,0,0,MMC- Clayton,0,0.993202241,0.003208442,0.320844201
90124487,3,0,0,MMC- Clayton,0,3.008301479,-0.000957373,-0.095737253
90124492,3,0,0,MMC- Clayton,0,3.006658131,-0.006421983,-0.642198288
90124502,2,0,0,MMC- Clayton,0,2.002547108,-0.00081282,-0.081281987
90124524,33,0,0,MMC- Clayton,0,32.99080231,0.000250678,0.025067833
90124546,5,0,0,MMC- Clayton,0,4.990440311,0.00576768,0.576767977
90124566,8,0,0,MMC- Clayton,0,7.991354088,0.008628206,0.862820574
90124581,2,0,0,MMC- Clayton,0,1.991981066,0.008782793,0.878279318
90124617,6,0,0,MMC- Clayton,0,6.007786662,-0.003749811,-0.374981115
90124633,5,0,0,MMC- Clayton,0,4.992882208,0.005368358,0.536835812
90124937,7,0,0,MMC- Clayton,0,6.997409353,0.003414939,0.34149387
90124938,3,0,0,MMC- Clayton,0,2.996574128,0.002241438,0.224143796
90127264,4,0,0,MMC- Clayton,0,3.999066092,0.007133964,0.713396351
90127293,13,0,0,MMC- Clayton,0,12.99412726,-0.00130154,-0.130153968
90127352,2,0,0,MMC- Clayton,0,2.004294203,-0.003596301,-0.359630096
90127356,22,0,0,MMC- Clayton,0,22.00607983,-0.004680718,-0.468071784
90132178,3,0,0,MMC- Clayton,0,2.990577592,0.004723296,0.472329636
90136195,4,0,0,MMC- Clayton,0,3.992958469,-0.003182214,-0.318221369
90136674,6,0,0,MMC- Clayton,0,5.992184369,0.006730587,0.673058695
90136682,7,0,0,MMC- Clayton,0,7.004648927,0.003584266,0.358426599
90136845,1,0,0,MMC- Clayton,0,1.004975582,-0.008200414,-0.820041379
90136850,26,0,0,MMC- Clayton,0,26.00354507,-0.007200737,-0.720073692
90137813,2,0,0,MMC- Clayton,0,2.003894099,0.00181884,0.181884016
90138707,1,0,0,MMC- Clayton,0,0.990240608,-0.009661647,-0.96616474
90141465,5,0,0,MMC- Clayton,0,4.995351004,0.004151568,0.415156815
90141719,1,0,0,MMC- Clayton,0,0.999708794,0.002067378,0.206737818
90144435,1,0,0,MMC- Clayton,0,1.007330612,-0.006869979,-0.686997922
90144765,5,0,0,MMC- Clayton,0,5.009568235,-0.009820273,-0.982027282
90144951,5,0,0,MMC- Clayton,0,5.001883141,0.004138007,0.413800658
90145024,4,0,0,MMC- Clayton,0,4.001537921,0.003018529,0.301852899
90145218,19,0,0,MMC- Clayton,0,19.00488139,0.006437555,0.64375548
90145261,1,0,0,MMC- Clayton,0,1.005115303,0.008976069,0.897606939
90145296,4,0,0,MMC- Clayton,0,4.001905147,0.008247271,0.824727093
90145489,1,0,0,MMC- Clayton,0,1.002520168,9.75777E-05,0.009757765
90145549,25,0,0,MMC- Clayton,0,24.99819319,-0.004974339,-0.497433863
90150180,4,0,0,MMC- Clayton,0,4.00074577,0.004856787,0.48567865
90150775,2,0,0,MMC- Clayton,0,2.001396255,0.00175355,0.175355008
90153189,6,0,0,MMC- Clayton,0,5.998798016,-0.001511369,-0.151136889
90153448,1,0,0,MMC- Clayton,0,1.008228712,0.006051944,0.605194429
90155074,5,0,0,MMC- Clayton,0,5.000648429,-0.007710119,-0.771011938
90159236,4,0,0,MMC- Clayton,0,4.008442906,0.004793691,0.479369069
90160332,4,0,0,MMC- Clayton,0,3.998771104,0.000265339,0.026533868
90160501,6,0,0,MMC- Clayton,0,6.006036296,-0.001369979,-0.136997905
90160513,1,0,0,MMC- Clayton,0,1.008770049,0.004428588,0.44285879
90160699,3,0,0,MMC- Clayton,0,3.002423845,-0.008580094,-0.858009352
90161185,1,0,0,MMC- Clayton,0,0.993004547,-0.007351783,-0.735178297
90166333,4,0,0,MMC- Clayton,0,4.005937121,-0.008272464,-0.827246421
90166347,5,0,0,MMC- Clayton,0,4.997860873,0.005916796,0.591679644
