Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90052270,33,MMC- Clayton,0,0,32.99564994,-0.001044185
90052734,2,MMC- Clayton,0,0,1.99876111,0.000907527
90052916,13,MMC- Clayton,0,0,12.99899215,0.000319351
90053418,2,MMC- Clayton,0,0,1.999693587,0.001740643
90053753,13,MMC- Clayton,0,0,12.99688483,-0.001347423
90056255,11,MMC- Clayton,0,0,11.0033994,-0.00099948
90057250,1,MMC- Clayton,0,0,0.998894686,-0.00139069
90057415,3,MMC- Clayton,0,0,3.004469403,-0.003164269
90058180,4,MMC- Clayton,0,0,3.997226394,0.000884118
90058333,6,MMC- Clayton,0,0,6.002907589,-0.001601522
90059331,7,MMC- Clayton,0,0,7.003335073,-0.004330959
90059584,34,MMC- Clayton,2,5,33.99947547,4.997138112
90059876,1,MMC- Clayton,0,0,1.003436566,-0.004087874
90060546,4,MMC- Clayton,0,0,3.998249979,0.003170478
90060945,1,MMC- Clayton,0,0,1.001994377,-0.002512294
90060950,29,MMC- Clayton,2,6,29.00163043,6.00195083
90061220,15,MMC- Clayton,0,0,15.00080485,-0.003799285
90062205,68,MMC- Clayton,0,0,67.99545908,0.003101677
90066524,42,MMC- Clayton,0,0,41.99960556,-0.003481609
90067536,5,MMC- Clayton,0,0,4.999873032,0.002455644
90070093,52,MMC- Clayton,1,1,51.99951962,0.999578335
90071676,3,MMC- Clayton,0,0,3.001820315,0.002470138
90071914,1,MMC- Clayton,0,0,1.002188301,-0.003587408
90072373,37,MMC- Clayton,3,8,37.00440005,8.001792704
90074642,16,MMC- Clayton,0,0,16.00078524,-0.000395276
90075008,48,MMC- Clayton,0,0,47.99506382,-0.002802957
90075334,27,MMC- Clayton,0,0,26.9995445,0.000721764
90075767,3,MMC- Clayton,0,0,3.004737428,0.001298654
90075796,4,MMC- Clayton,0,0,3.996942203,0.000870863
90076693,11,MMC- Clayton,0,0,10.99986817,0.003811685
90076797,18,MMC- Clayton,0,0,17.99601931,0.002263703
90077401,40,MMC- Clayton,1,2,39.99574437,1.996583995
90077920,5,MMC- Clayton,0,0,5.000183687,-0.001927662
90078071,32,MMC- Clayton,0,0,31.99983976,-0.004153778
90078705,51,MMC- Clayton,2,3,51.00208606,3.000687055
90078787,4,MMC- Clayton,0,0,4.001461025,-0.002686282
90078814,7,MMC- Clayton,1,14,7.000169488,13.99958608
90079546,26,MMC- Clayton,0,0,26.00453572,0.002216044
90080314,3,MMC- Clayton,1,33,2.999194912,33.00266614
90080745,17,MMC- Clayton,0,0,16.99872615,-0.00121084
90081325,51,MMC- Clayton,1,1,51.0022798,0.997682519
90081556,11,MMC- Clayton,0,0,11.00311224,-0.004524197
90081588,2,MMC- Clayton,0,0,1.997656758,0.004088393
90081957,20,MMC- Clayton,0,0,19.99518145,0.000820286
90082317,15,MMC- Clayton,0,0,14.99933345,0.00157609
90082515,7,MMC- Clayton,0,0,6.99698772,-0.003842281
90082606,3,MMC- Clayton,0,0,3.002819193,-0.002034561
90082724,8,MMC- Clayton,0,0,7.99929091,0.00323305
90083027,19,MMC- Clayton,0,0,19.0038098,-0.001344522
90083266,38,MMC- Clayton,0,0,37.99552123,0.004333999
90085043,3,MMC- Clayton,0,0,3.002888163,0.000428499
90085898,23,MMC- Clayton,1,4,23.00096785,3.995771583
90086088,4,MMC- Clayton,0,0,4.000401478,-0.003835134
90086232,5,MMC- Clayton,0,0,5.003477861,0.000148182
90088695,3,MMC- Clayton,0,0,2.997206237,0.00383601
90091034,2,MMC- Clayton,1,50,2.00122689,50.0035894
90093120,18,MMC- Clayton,0,0,18.00116071,0.000973155
90093190,15,MMC- Clayton,1,6,14.99668328,5.996441198
90093516,6,MMC- Clayton,0,0,5.997975011,-0.004884289
90094126,22,MMC- Clayton,1,4,22.0026375,4.000814278
90094427,39,MMC- Clayton,0,0,38.99838239,0.002459919
90096616,14,MMC- Clayton,0,0,14.00198613,0.000176664
90096638,7,MMC- Clayton,0,0,6.997963478,-0.00020901
90097777,2,MMC- Clayton,0,0,2.002696882,0.002295764
90097823,13,MMC- Clayton,0,0,12.99551184,-0.000810245
90098181,38,MMC- Clayton,0,0,37.99565144,-0.000636575
90098744,39,MMC- Clayton,0,0,38.99751746,0.003924561
90098792,6,MMC- Clayton,0,0,5.997927325,-0.001692098
90099597,1,MMC- Clayton,0,0,1.002660411,-0.001584624
90099752,26,MMC- Clayton,0,0,25.99623559,0.003222569
90100582,26,MMC- Clayton,0,0,26.00217543,0.001418329
90101121,3,MMC- Clayton,0,0,2.99585848,0.000245042
90101122,14,MMC- Clayton,0,0,13.99519867,0.002004526
90101274,55,MMC- Clayton,0,0,55.00399462,0.00246146
90102464,1,MMC- Clayton,0,0,0.995523985,-0.000750209
90102876,27,MMC- Clayton,0,0,27.00364557,-0.003079138
90103211,1,MMC- Clayton,0,0,0.998106627,-0.002575573
90103318,5,MMC- Clayton,1,20,4.996820917,19.99867319
90104966,2,MMC- Clayton,0,0,2.002620315,-0.00410703
90104983,8,MMC- Clayton,0,0,8.002238035,-0.004202659
90107514,29,MMC- Clayton,0,0,29.0034216,0.001639327
90108333,14,MMC- Clayton,0,0,13.99955651,-0.003290485
90108552,4,MMC- Clayton,0,0,4.000826691,-0.000981148
90109179,6,MMC- Clayton,0,0,5.995846045,-0.001079626
90110663,2,MMC- Clayton,0,0,1.995287705,0.002542296
90111104,1,MMC- Clayton,0,0,1.001966382,-0.003425264
90111201,11,MMC- Clayton,0,0,11.00318932,-0.003310737
90111262,1,MMC- Clayton,1,100,0.999452758,100.0001667
90111349,1,MMC- Clayton,0,0,1.002672503,-0.004182037
90111526,2,MMC- Clayton,0,0,2.000451921,1.94053E-05
