Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_prednisolone,prednisolone_proportion,Hospital,prednisolone_percentage,jitter_Number_of_patient_Seen,jitter_prednisolone_proportion,jitter_prednisolone_percentage
90082724,1,0,0,Dandenong,0,0.994548337,0.001626809,0.162680872
90083180,4,0,0,Dandenong,0,4.008878366,0.009384888,0.93848883
90083199,11,0,0,Dandenong,0,11.0032901,-0.006100441,-0.610044072
90085012,1,0,0,Dandenong,0,0.995109466,-0.009995318,-0.999531768
90085273,1,0,0,Dandenong,0,0.991012228,0.00519621,0.51962099
90086726,5,0,0,Dandenong,0,5.000313062,0.007475969,0.747596928
90088199,4,0,0,Dandenong,0,3.99664806,-0.007965876,-0.796587596
90090296,25,0,0,Dandenong,0,24.99185075,-0.002201313,-0.220131337
90091034,5,0,0,Dandenong,0,5.001404688,-6.16249E-05,-0.00616249
90093122,1,0,0,Dandenong,0,0.99095731,-0.003196883,-0.319688277
90093189,2,0,0,Dandenong,0,1.994119785,-0.00711735,-0.711734983
90097823,7,0,0,Dandenong,0,6.995716516,-0.005356588,-0.535658835
90098405,1,0,0,Dandenong,0,0.998505839,-0.008716729,-0.871672861
90099752,6,0,0,Dandenong,0,5.990906885,-0.003160863,-0.316086333
90099773,5,0,0,Dandenong,0,4.991826866,-0.001980539,-0.198053928
90100582,16,0,0,Dandenong,0,16.0073779,-0.005333457,-0.53334571
90101219,5,0,0,Dandenong,0,5.003164073,0.002017308,0.201730789
90102882,3,0,0,Dandenong,0,3.009029649,-0.008038044,-0.803804449
90102895,17,0,0,Dandenong,0,16.99131773,0.006602233,0.660223333
90104011,10,0,0,Dandenong,0,9.999991952,0.002231945,0.22319451
90104880,3,0,0,Dandenong,0,3.000204125,-0.009834821,-0.983482105
90107017,3,0,0,Dandenong,0,3.003600722,-0.003088897,-0.308889744
90107765,7,0,0,Dandenong,0,7.000463658,0.005496915,0.549691514
90109083,15,1,0.07,Dandenong,7,15.00387991,0.06171097,6.171097042
90109179,3,0,0,Dandenong,0,2.999640006,0.004712927,0.471292686
90110166,1,0,0,Dandenong,0,0.991621899,0.009428747,0.94287473
90111258,8,0,0,Dandenong,0,8.006807571,0.001164772,0.116477211
90112361,2,0,0,Dandenong,0,2.009345832,-0.005701925,-0.570192524
90112515,3,0,0,Dandenong,0,2.997542724,-0.007151734,-0.715173447
90112578,3,0,0,Dandenong,0,3.007907698,-0.008495968,-0.849596771
90113108,6,0,0,Dandenong,0,6.002244783,-0.004273849,-0.427384869
90115923,12,0,0,Dandenong,0,12.00056285,0.009930625,0.993062499
90116155,5,0,0,Dandenong,0,5.005326528,0.002406036,0.240603552
90117588,17,1,0.06,Dandenong,6,16.99999308,0.053069106,5.306910621
90117635,3,0,0,Dandenong,0,2.993570378,-0.00719643,-0.719642987
90118204,6,0,0,Dandenong,0,5.991456567,-0.00097061,-0.097061035
90119011,1,0,0,Dandenong,0,0.990945911,-0.00838548,-0.838547956
90119742,6,0,0,Dandenong,0,5.999356849,0.003299987,0.329998691
90119988,5,0,0,Dandenong,0,5.000741095,0.00099714,0.099714032
90123243,2,0,0,Dandenong,0,2.004198902,0.00355208,0.355207985
90123255,7,0,0,Dandenong,0,6.998985962,0.007415717,0.741571708
90123274,8,0,0,Dandenong,0,7.996215113,0.003535552,0.353555227
90123336,2,0,0,Dandenong,0,1.998302171,0.000542133,0.054213336
90123339,2,0,0,Dandenong,0,1.99875405,0.000928567,0.092856698
90124202,10,1,0.1,Dandenong,10,9.992718149,0.092118027,9.211802678
90124437,3,0,0,Dandenong,0,2.9953013,0.001366329,0.13663293
90124438,3,0,0,Dandenong,0,3.005135378,0.000739319,0.073931891
90124439,6,1,0.17,Dandenong,17,6.001905953,0.166920717,16.69207167
90124445,1,0,0,Dandenong,0,1.002075269,7.15275E-05,0.007152745
90124446,8,0,0,Dandenong,0,8.00811074,-0.008054375,-0.805437537
90124447,10,0,0,Dandenong,0,9.998841834,0.008855698,0.885569833
90124449,12,0,0,Dandenong,0,11.99177734,-0.00468829,-0.468828997
90124457,2,0,0,Dandenong,0,2.009658254,0.005067614,0.506761414
90124459,2,0,0,Dandenong,0,1.997340619,0.004334692,0.433469234
90124499,1,0,0,Dandenong,0,1.006284575,-0.007735848,-0.773584835
90124515,4,0,0,Dandenong,0,3.996693715,0.007497956,0.749795616
90124517,9,0,0,Dandenong,0,8.999088004,0.005175672,0.517567195
90124561,6,0,0,Dandenong,0,5.998102168,-0.006264234,-0.626423352
90124565,2,0,0,Dandenong,0,2.004927811,-3.93169E-05,-0.003931693
90124570,2,0,0,Dandenong,0,1.993770845,-0.0040347,-0.403470011
90138148,3,0,0,Dandenong,0,2.995404438,0.008318722,0.831872221
90139416,1,0,0,Dandenong,0,0.996248324,-0.002104872,-0.210487203
90140978,8,0,0,Dandenong,0,8.006771902,0.009249113,0.924911315
90141583,1,0,0,Dandenong,0,1.009927267,0.004201693,0.420169345
90142799,1,0,0,Dandenong,0,0.992081876,0.002761076,0.276107644
90142824,1,0,0,Dandenong,0,1.002675751,-0.000408414,-0.04084137
90142847,2,0,0,Dandenong,0,2.001952733,-0.002245976,-0.224597618
90142849,1,0,0,Dandenong,0,1.002388449,0.008667064,0.866706433
90142983,2,0,0,Dandenong,0,1.995831435,0.007677798,0.767779763
90144566,7,0,0,Dandenong,0,7.004980166,-0.002706779,-0.270677891
90144627,5,0,0,Dandenong,0,5.009581272,0.003953893,0.39538933
90144754,1,0,0,Dandenong,0,0.990024195,-0.003244987,-0.324498712
90144839,5,0,0,Dandenong,0,5.004873703,0.00502998,0.502998021
90145198,1,0,0,Dandenong,0,1.006944432,0.003811519,0.381151916
90145323,5,0,0,Dandenong,0,4.993200143,0.004109759,0.410975922
90145457,1,0,0,Dandenong,0,1.008680511,-0.009737465,-0.973746524
90145469,5,0,0,Dandenong,0,5.002081843,-0.005356054,-0.535605399
90145927,10,0,0,Dandenong,0,10.0017882,-0.008832938,-0.883293842
90146286,2,0,0,Dandenong,0,1.994886277,-0.008122932,-0.812293183
90148374,1,0,0,Dandenong,0,0.990996523,-0.004278091,-0.427809118
90153189,5,0,0,Dandenong,0,5.00841005,0.002269919,0.22699186
90153466,1,0,0,Dandenong,0,1.001957346,0.002166587,0.216658716
90154371,5,1,0.2,Dandenong,20,4.998492391,0.201172868,20.11728678
90156769,6,0,0,Dandenong,0,5.991952229,-0.006279267,-0.627926737
90157916,1,0,0,Dandenong,0,0.994196608,-0.00151595,-0.151595028
90159883,7,0,0,Dandenong,0,6.993213686,-3.05642E-06,-0.000305642
90160514,1,0,0,Dandenong,0,0.993712818,0.002839379,0.283937921
90160647,1,0,0,Dandenong,0,0.999808133,-0.008181766,-0.818176575
90160650,3,0,0,Dandenong,0,3.003037757,-0.005908424,-0.59084241
