Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_prednisolone,prednisolone_proportion,Hospital,prednisolone_percentage,jitter_Number_of_patient_Seen,jitter_prednisolone_proportion,jitter_prednisolone_percentage
90123337,11,0,0,Casey,0,10.99865191,-0.001064211,-0.106421147
90123338,2,0,0,Casey,0,2.006146691,-0.0060443,-0.604430031
90123339,1,0,0,Casey,0,0.997889127,0.000939722,0.093972205
90124199,13,0,0,Casey,0,13.00752114,0.00498552,0.498552006
90124200,5,0,0,Casey,0,5.000688032,-0.009415864,-0.941586406
90124202,26,0,0,Casey,0,25.9980895,-0.003897585,-0.389758505
90124438,21,1,0.05,Casey,5,20.99228768,0.049173952,4.917395234
90124439,19,0,0,Casey,0,19.00584479,0.002493,0.249299986
90124440,36,0,0,Casey,0,35.9975301,-0.003016197,-0.301619683
90124441,15,0,0,Casey,0,15.00399413,0.003157339,0.315733898
90124443,3,0,0,Casey,0,3.001479591,0.009902809,0.990280939
90124444,1,0,0,Casey,0,1.003618663,0.00596468,0.596467955
90124445,9,0,0,Casey,0,8.990901142,0.006591556,0.659155584
90124446,10,0,0,Casey,0,10.00718231,-0.001236658,-0.123665816
90124447,21,1,0.05,Casey,5,20.99960715,0.056084917,5.608491654
90124449,8,0,0,Casey,0,8.00600094,-0.007617723,-0.76177226
90124452,3,0,0,Casey,0,3.001531426,-0.009951997,-0.995199709
90124464,5,0,0,Casey,0,4.992797558,-0.005711577,-0.57115769
90124491,5,0,0,Casey,0,5.001232269,0.003290078,0.329007823
90124501,7,0,0,Casey,0,7.007877279,-0.003362047,-0.336204719
90124502,8,0,0,Casey,0,8.000684632,-0.003358785,-0.335878513
90124508,14,0,0,Casey,0,13.99985445,0.005659684,0.565968417
90124539,1,0,0,Casey,0,1.002219927,-0.002759501,-0.275950074
90124543,8,0,0,Casey,0,7.991787326,-0.003212955,-0.32129549
90124547,1,0,0,Casey,0,1.008945553,0.005669499,0.566949897
90124552,4,0,0,Casey,0,3.997176766,-0.006885127,-0.688512676
90124570,2,0,0,Casey,0,1.996395832,-0.000197553,-0.019755276
90124574,19,0,0,Casey,0,19.00292898,0.002726222,0.27262217
90124598,2,0,0,Casey,0,1.992549937,-0.00866682,-0.866682033
90124612,8,0,0,Casey,0,8.000148814,0.001704115,0.170411473
90124618,1,0,0,Casey,0,1.006641702,-0.000402779,-0.040277875
90124642,12,0,0,Casey,0,12.00990066,0.001720952,0.17209516
90124936,9,0,0,Casey,0,9.001921037,-0.006148717,-0.614871737
90124939,2,0,0,Casey,0,2.003956019,0.009512184,0.951218437
90127515,1,0,0,Casey,0,1.001086239,-0.008209201,-0.820920125
90132167,36,0,0,Casey,0,35.99716554,0.004203902,0.420390181
90135325,19,0,0,Casey,0,18.99633461,0.006465368,0.646536814
90136829,2,0,0,Casey,0,1.99234356,-0.001554144,-0.155414434
90137181,5,0,0,Casey,0,5.000912201,0.008252751,0.825275061
90137813,19,0,0,Casey,0,19.00007858,-0.0064716,-0.64716002
90140200,3,0,0,Casey,0,3.000625924,-0.003366935,-0.336693483
90141463,1,0,0,Casey,0,0.996893696,0.006947222,0.694722197
90141465,3,1,0.33,Casey,33,2.995666041,0.33405808,33.40580803
90141583,4,0,0,Casey,0,3.991380836,0.002051698,0.205169771
90142792,2,0,0,Casey,0,1.99327522,-0.006357208,-0.635720768
90142803,2,0,0,Casey,0,2.003327204,0.005375273,0.537527259
90142808,5,0,0,Casey,0,5.005215584,-0.006780059,-0.678005899
90142809,1,0,0,Casey,0,1.004531867,-0.002648312,-0.264831183
90142812,6,0,0,Casey,0,5.990439545,0.002037601,0.203760088
90142824,4,0,0,Casey,0,3.991400968,-0.004976939,-0.497693944
90142827,12,0,0,Casey,0,12.00744819,0.009079338,0.907933845
90142841,27,1,0.04,Casey,4,26.99561075,0.036970701,3.697070141
90142861,1,0,0,Casey,0,1.00474513,0.000367678,0.036767788
90142863,1,0,0,Casey,0,1.007703322,0.006607319,0.660731924
90142868,12,0,0,Casey,0,12.00413826,0.007417164,0.741716386
90142876,3,0,0,Casey,0,2.995433021,-0.000379363,-0.037936264
90142879,2,0,0,Casey,0,1.990386501,-0.00099309,-0.099308992
90144220,5,0,0,Casey,0,4.998139677,-0.004321031,-0.432103076
90144606,1,0,0,Casey,0,0.997081214,-0.004073068,-0.40730682
90144629,34,0,0,Casey,0,34.00870175,0.008770281,0.877028069
90144646,14,0,0,Casey,0,13.99651657,-0.00892869,-0.892869031
90144738,4,0,0,Casey,0,3.991973333,0.004555106,0.455510627
90144872,50,1,0.02,Casey,2,50.00304015,0.029857564,2.985756421
90144933,20,0,0,Casey,0,19.99786804,-0.006241057,-0.624105689
90144951,12,1,0.08,Casey,8,12.0009373,0.087624008,8.762400812
90145292,3,0,0,Casey,0,3.003670444,-0.008900181,-0.890018077
90145323,2,0,0,Casey,0,2.008537366,-0.009826591,-0.982659147
90145385,5,0,0,Casey,0,5.008137384,0.006510837,0.651083716
90145408,20,0,0,Casey,0,20.00751048,0.006959406,0.695940596
90145489,13,0,0,Casey,0,13.00826471,-0.005074471,-0.507447066
90145507,1,0,0,Casey,0,1.004882854,-0.005512847,-0.55128467
90145525,11,1,0.09,Casey,9,10.99471556,0.087876872,8.787687223
90145734,1,0,0,Casey,0,0.99348101,-0.005560092,-0.556009198
90145741,10,0,0,Casey,0,10.00575357,0.006827425,0.682742497
90145753,8,0,0,Casey,0,8.009012709,-0.008309139,-0.830913902
90145756,3,0,0,Casey,0,3.006866779,0.002682351,0.268235126
90145758,3,0,0,Casey,0,2.994239548,-0.00586323,-0.586323045
90145901,58,0,0,Casey,0,57.99997346,-0.000368413,-0.036841283
90146246,5,0,0,Casey,0,5.007669603,0.003934945,0.393494488
90146286,1,0,0,Casey,0,0.998810113,-0.005337955,-0.533795509
90148355,7,0,0,Casey,0,6.997834307,-0.003644602,-0.364460216
90148374,4,0,0,Casey,0,3.991475658,-0.00337225,-0.337224985
90151693,1,0,0,Casey,0,0.99020063,0.002987182,0.298718174
90152266,2,0,0,Casey,0,2.008563411,-0.008101873,-0.810187287
90152983,4,0,0,Casey,0,4.00905766,0.003299751,0.329975124
90153760,9,0,0,Casey,0,9.007072673,0.006568618,0.656861763
90154175,13,0,0,Casey,0,13.00884419,0.00596811,0.596811046
90154195,4,0,0,Casey,0,3.993954064,0.007258379,0.725837903
90154449,2,0,0,Casey,0,1.992987626,-0.001391894,-0.139189424
90155074,10,1,0.1,Casey,10,9.993811489,0.10293167,10.29316697
90158840,1,0,0,Casey,0,1.008189128,-0.00218327,-0.218327038
90160353,2,0,0,Casey,0,2.000234276,-0.008710965,-0.871096458
90160495,2,0,0,Casey,0,2.002151278,-0.00352394,-0.352394028
90160622,1,0,0,Casey,0,0.99770167,-0.009905729,-0.990572911
90160654,4,0,0,Casey,0,4.007363055,-0.005082212,-0.508221246
90160655,1,0,0,Casey,0,0.996292815,0.008776528,0.877652801
90161039,4,0,0,Casey,0,3.992348645,-0.006791167,-0.679116741
90161096,5,0,0,Casey,0,4.998930562,0.003536563,0.353656347
90161173,3,0,0,Casey,0,3.002967305,0.006233087,0.623308743
90161944,5,0,0,Casey,0,5.004612556,-0.005367744,-0.536774394
90162065,40,1,0.02,Casey,2,40.00774621,0.017379168,1.73791677
90162082,8,0,0,Casey,0,7.992275988,0.003532221,0.353222139
90162770,14,0,0,Casey,0,13.99736297,0.009354365,0.935436484
90162832,1,0,0,Casey,0,1.003139073,-0.006543335,-0.654333489
90162877,2,0,0,Casey,0,1.997294152,0.002572608,0.257260806
90162880,9,0,0,Casey,0,8.997925273,-0.00939805,-0.939805037
90162925,30,0,0,Casey,0,29.99730988,-0.009499046,-0.94990464
90162953,4,0,0,Casey,0,3.995087495,-0.006446921,-0.644692113
90163090,1,0,0,Casey,0,0.995030578,0.005082331,0.508233088
90163243,18,0,0,Casey,0,17.9971407,0.006616562,0.66165618
90164074,1,0,0,Casey,0,0.993424464,-0.000165743,-0.016574315
90164194,3,0,0,Casey,0,3.00019253,-0.003173313,-0.317331308
90164305,9,0,0,Casey,0,8.994401928,0.004070113,0.407011267
90000541,3,0,0,MMC - Clayton,0,2.991836054,0.006883434,0.68834341
90000821,2,0,0,MMC - Clayton,0,2.000169022,-0.005544139,-0.554413882
90001224,58,0,0,MMC - Clayton,0,58.00866724,-0.008593865,-0.859386492
90002178,16,0,0,MMC - Clayton,0,15.9935978,-0.009322639,-0.93226394
90002776,5,0,0,MMC - Clayton,0,5.008981533,-0.007465601,-0.746560129
90003225,14,0,0,MMC - Clayton,0,14.00691158,0.002520011,0.252001066
90003263,1,0,0,MMC - Clayton,0,0.995026421,0.004395031,0.439503101
90003332,2,0,0,MMC - Clayton,0,2.003352473,-0.009814274,-0.981427435
90003338,1,0,0,MMC - Clayton,0,0.997727872,0.003595518,0.359551825
90003440,2,0,0,MMC - Clayton,0,2.006599298,0.00714217,0.714217014
90003510,2,0,0,MMC - Clayton,0,1.993179814,-0.005640037,-0.564003684
90003645,6,0,0,MMC - Clayton,0,5.998177954,-0.009431071,-0.943107105
90003671,5,0,0,MMC - Clayton,0,4.990726564,-0.006931411,-0.693141072
90003721,4,0,0,MMC - Clayton,0,3.99640317,0.001762413,0.176241327
90003723,6,0,0,MMC - Clayton,0,6.003646882,-0.000466887,-0.046688742
90003827,8,0,0,MMC - Clayton,0,7.992458123,-0.004283745,-0.428374502
90003932,2,0,0,MMC - Clayton,0,2.007290611,-0.009205207,-0.920520735
90004008,7,0,0,MMC - Clayton,0,7.004116089,0.005259512,0.525951162
90004171,2,0,0,MMC - Clayton,0,1.996531477,-0.002798428,-0.279842751
90004253,1,0,0,MMC - Clayton,0,1.006941422,0.009664809,0.966480907
90004301,17,0,0,MMC - Clayton,0,16.99345205,-0.002968828,-0.296882769
90004467,2,0,0,MMC - Clayton,0,2.001296406,-0.003091852,-0.309185223
90004510,2,0,0,MMC - Clayton,0,1.990383276,0.000586035,0.058603483
90004546,10,0,0,MMC - Clayton,0,9.998976249,-0.001694229,-0.169422867
90004585,2,0,0,MMC - Clayton,0,2.007470248,0.004834447,0.483444743
90004628,11,0,0,MMC - Clayton,0,10.99175479,-0.009379097,-0.937909665
90004632,1,0,0,MMC - Clayton,0,1.003869033,-0.000321245,-0.032124467
90004798,5,0,0,MMC - Clayton,0,5.007653094,0.007282542,0.728254172
90004811,4,0,0,MMC - Clayton,0,3.998538019,-0.009731905,-0.973190546
90004881,1,0,0,MMC - Clayton,0,0.99783989,-0.00186879,-0.186879021
90004900,2,0,0,MMC - Clayton,0,2.001430712,0.00988494,0.988493993
90004908,2,0,0,MMC - Clayton,0,2.006339353,0.009291541,0.929154145
90005005,9,0,0,MMC - Clayton,0,9.0075324,0.004413695,0.441369469
90005132,2,0,0,MMC - Clayton,0,2.003302658,-0.002793101,-0.279310136
90005187,3,2,0.67,MMC - Clayton,67,2.993205008,0.664614261,66.46142607
90005201,10,0,0,MMC - Clayton,0,9.995422551,0.0073102,0.731019972
90005205,1,0,0,MMC - Clayton,0,0.992529715,0.000626352,0.062635243
90005292,1,0,0,MMC - Clayton,0,1.000399621,0.006644139,0.664413885
90005313,2,0,0,MMC - Clayton,0,1.996400582,0.000421741,0.042174071
90005703,20,0,0,MMC - Clayton,0,19.99589131,0.004334327,0.433432653
90006510,6,0,0,MMC - Clayton,0,5.9913988,-0.000483369,-0.048336902
90007275,10,0,0,MMC - Clayton,0,9.999129206,-0.006819332,-0.681933156
90008396,10,0,0,MMC - Clayton,0,10.0074645,-0.001551949,-0.15519494
90009738,21,0,0,MMC - Clayton,0,21.0093104,-0.00082823,-0.08282304
90009881,22,0,0,MMC - Clayton,0,21.99049973,-0.002311882,-0.231188167
90010158,22,0,0,MMC - Clayton,0,22.00436804,-0.002882815,-0.288281502
90010538,2,0,0,MMC - Clayton,0,2.009774243,0.007394494,0.739449431
90010636,31,0,0,MMC - Clayton,0,30.9995922,0.005821774,0.582177399
90010720,2,0,0,MMC - Clayton,0,2.006901763,-0.005769024,-0.576902436
90012203,5,0,0,MMC - Clayton,0,4.997176549,0.006984391,0.698439132
90013598,4,0,0,MMC - Clayton,0,3.999218126,-0.007505763,-0.750576302
90013837,44,0,0,MMC - Clayton,0,43.99761633,-0.007808118,-0.780811828
90014525,2,0,0,MMC - Clayton,0,1.996158181,0.002181514,0.218151402
90014902,43,0,0,MMC - Clayton,0,42.99753097,0.000911211,0.09112115
90015608,33,0,0,MMC - Clayton,0,33.00359165,0.003448521,0.344852147
90015901,5,0,0,MMC - Clayton,0,4.996478892,0.009612446,0.961244592
90016143,1,0,0,MMC - Clayton,0,1.003834033,-0.002270506,-0.227050575
90018068,2,0,0,MMC - Clayton,0,2.000327972,-0.008167055,-0.81670552
90018863,23,0,0,MMC - Clayton,0,22.99712925,-0.008042532,-0.804253152
90019764,5,0,0,MMC - Clayton,0,5.000773285,0.008389149,0.838914884
90020817,3,0,0,MMC - Clayton,0,2.991336425,0.007365854,0.736585413
90020953,1,0,0,MMC - Clayton,0,0.99589007,-0.006862948,-0.686294843
90022682,11,0,0,MMC - Clayton,0,11.00364908,-0.005048592,-0.504859175
90023171,47,0,0,MMC - Clayton,0,47.00584753,-0.008984681,-0.89846807
90024040,22,0,0,MMC - Clayton,0,22.00482941,-0.006775734,-0.677573438
90024223,7,0,0,MMC - Clayton,0,6.991118131,0.009740214,0.974021401
90024320,25,1,0.04,MMC - Clayton,4,25.00044729,0.042709547,4.270954659
90025896,1,0,0,MMC - Clayton,0,1.001380692,-0.003914614,-0.39146143
90026166,55,0,0,MMC - Clayton,0,55.0065885,-0.005739159,-0.573915866
90028082,3,0,0,MMC - Clayton,0,2.999716421,0.006511193,0.651119271
90028087,6,0,0,MMC - Clayton,0,5.998533529,-0.00685578,-0.685578016
90028254,34,1,0.03,MMC - Clayton,3,34.00079102,0.036243408,3.624340793
90030535,35,0,0,MMC - Clayton,0,35.00702327,0.006602056,0.660205563
90031199,2,0,0,MMC - Clayton,0,1.999489174,-0.008299066,-0.829906622
90031311,7,0,0,MMC - Clayton,0,7.004986137,0.006673539,0.667353876
90031341,26,0,0,MMC - Clayton,0,25.99741269,-0.004902778,-0.490277813
90032705,7,0,0,MMC - Clayton,0,6.999875634,-0.008191325,-0.819132501
90032929,17,0,0,MMC - Clayton,0,17.00768737,0.00801198,0.801197972
90033661,19,0,0,MMC - Clayton,0,19.00781183,0.005864061,0.586406122
90033774,66,0,0,MMC - Clayton,0,66.00016234,0.007652674,0.765267363
90033803,46,1,0.02,MMC - Clayton,2,46.00930364,0.029865397,2.986539706
90034135,9,0,0,MMC - Clayton,0,9.000742074,0.007112149,0.711214853
90036294,2,0,0,MMC - Clayton,0,1.999550272,0.008057802,0.805780191
90036519,5,0,0,MMC - Clayton,0,5.004887042,-0.000422648,-0.042264786
90037802,8,0,0,MMC - Clayton,0,8.004321281,-0.000443801,-0.044380105
90037995,3,0,0,MMC - Clayton,0,3.002307677,-0.005750832,-0.575083231
90040004,19,0,0,MMC - Clayton,0,18.99440372,-0.000722217,-0.072221738
90040371,4,0,0,MMC - Clayton,0,3.999824134,-0.001822844,-0.182284441
90043227,15,0,0,MMC - Clayton,0,14.99602717,-0.001283771,-0.128377128
90043338,26,0,0,MMC - Clayton,0,25.99473918,0.005666489,0.566648865
90043858,4,0,0,MMC - Clayton,0,4.000861423,-0.003043129,-0.304312944
90044101,5,0,0,MMC - Clayton,0,5.008753028,-0.003604393,-0.360439298
90044868,1,0,0,MMC - Clayton,0,1.004536961,0.004684433,0.468443286
90045378,17,0,0,MMC - Clayton,0,16.99645487,0.008388447,0.838844719
90047064,1,0,0,MMC - Clayton,0,0.990804933,-0.002333953,-0.233395266
90048747,21,0,0,MMC - Clayton,0,20.9934058,-0.000556577,-0.055657715
90049430,5,0,0,MMC - Clayton,0,5.002814236,0.002655303,0.265530282
90051275,11,0,0,MMC - Clayton,0,10.99266034,0.00460174,0.460173952
90051548,16,1,0.06,MMC - Clayton,6,15.99807925,0.053816179,5.381617917
90052261,15,0,0,MMC - Clayton,0,14.99993009,-0.000247233,-0.024723281
90052270,33,0,0,MMC - Clayton,0,33.0024003,0.00584741,0.58474096
90052734,2,0,0,MMC - Clayton,0,2.008436817,-0.009537097,-0.953709714
90052916,13,0,0,MMC - Clayton,0,13.00992534,0.002405486,0.24054859
90053418,2,0,0,MMC - Clayton,0,2.007337611,0.000847816,0.08478163
90053753,13,0,0,MMC - Clayton,0,13.00101149,0.009846612,0.984661157
90056255,11,0,0,MMC - Clayton,0,11.00847044,0.0027803,0.278030041
90057250,1,1,1,MMC - Clayton,100,1.007108841,1.009925592,100.9925592
90057415,3,0,0,MMC - Clayton,0,2.99966909,0.005980168,0.598016776
90058180,4,0,0,MMC - Clayton,0,4.008504869,0.004775348,0.477534833
90058333,6,0,0,MMC - Clayton,0,6.000106651,-0.005034274,-0.503427385
90059331,7,0,0,MMC - Clayton,0,6.990505073,-0.001220151,-0.122015141
90059584,34,0,0,MMC - Clayton,0,34.00236075,-0.00884664,-0.884663953
90059876,1,0,0,MMC - Clayton,0,1.00002041,0.006212197,0.621219662
90060546,4,0,0,MMC - Clayton,0,3.993966964,0.000343258,0.0343258
90060945,1,0,0,MMC - Clayton,0,0.994187132,0.002680931,0.268093104
90060950,29,1,0.03,MMC - Clayton,3,28.99717636,0.039673229,3.967322935
90061220,15,0,0,MMC - Clayton,0,15.0046449,0.000939461,0.093946094
90062205,68,0,0,MMC - Clayton,0,68.00933396,0.009662028,0.966202831
90066524,42,0,0,MMC - Clayton,0,41.99624834,0.00792025,0.792025032
90067536,5,0,0,MMC - Clayton,0,5.002602391,-0.007548714,-0.754871391
90070093,52,0,0,MMC - Clayton,0,52.00133081,-0.001424709,-0.142470888
90071676,3,0,0,MMC - Clayton,0,3.005555011,0.007084458,0.708445842
90071914,1,0,0,MMC - Clayton,0,1.002515228,-0.005583887,-0.558388673
90072373,37,1,0.03,MMC - Clayton,3,36.99503678,0.038242882,3.824288195
90074642,16,0,0,MMC - Clayton,0,16.00517799,-0.003005873,-0.300587288
90075008,48,0,0,MMC - Clayton,0,48.00674075,0.001776826,0.177682585
90075334,27,0,0,MMC - Clayton,0,27.00873153,0.006385386,0.63853861
90075767,3,0,0,MMC - Clayton,0,2.997543642,0.001035792,0.103579237
90075796,4,0,0,MMC - Clayton,0,4.003366594,0.009264001,0.926400093
90076693,11,0,0,MMC - Clayton,0,10.99705122,-0.005158595,-0.51585954
90076797,18,0,0,MMC - Clayton,0,18.00162456,0.008582083,0.858208278
90077401,40,0,0,MMC - Clayton,0,40.0016666,-0.002845617,-0.284561678
90077920,5,1,0.2,MMC - Clayton,20,5.006798138,0.20238133,20.23813302
90078071,32,0,0,MMC - Clayton,0,32.00710794,-0.005011947,-0.50119473
90078705,51,0,0,MMC - Clayton,0,50.9906076,0.001550333,0.1550333
90078787,4,0,0,MMC - Clayton,0,4.004829378,-0.004824072,-0.482407183
90078814,7,0,0,MMC - Clayton,0,6.995857785,-0.002404933,-0.240493299
90079546,26,1,0.04,MMC - Clayton,4,26.00935783,0.03013237,3.013236979
90080314,3,0,0,MMC - Clayton,0,2.996860687,-0.003861196,-0.386119555
90080745,17,0,0,MMC - Clayton,0,16.99209239,0.003094141,0.309414089
90081325,51,0,0,MMC - Clayton,0,50.99861067,-0.001840837,-0.184083657
90081556,11,0,0,MMC - Clayton,0,11.00111529,-0.002412083,-0.241208276
90081588,2,0,0,MMC - Clayton,0,2.000649326,-0.009065941,-0.906594149
90081957,20,0,0,MMC - Clayton,0,19.99050918,-0.007571806,-0.757180623
90082317,15,0,0,MMC - Clayton,0,14.99160526,0.001801792,0.180179179
90082515,7,0,0,MMC - Clayton,0,7.009708773,0.005165434,0.516543387
90082606,3,0,0,MMC - Clayton,0,3.004627346,0.008166227,0.81662267
90082724,8,0,0,MMC - Clayton,0,7.997305347,0.000621763,0.062176333
90083027,19,0,0,MMC - Clayton,0,19.00212665,-0.000727151,-0.07271514
90083266,38,0,0,MMC - Clayton,0,37.99010533,0.000744192,0.074419227
90085043,3,0,0,MMC - Clayton,0,3.001100029,0.005135633,0.513563338
90085898,23,0,0,MMC - Clayton,0,23.00320066,0.001505442,0.150544228
90086088,4,0,0,MMC - Clayton,0,4.00544447,0.002101278,0.210127827
90086232,5,0,0,MMC - Clayton,0,5.008813876,-0.00242692,-0.242692012
90088695,3,0,0,MMC - Clayton,0,3.001214276,-0.005350381,-0.535038087
90091034,2,0,0,MMC - Clayton,0,1.999656236,-0.004010216,-0.401021613
90093120,18,0,0,MMC - Clayton,0,17.99641343,-0.007746161,-0.77461605
90093190,15,0,0,MMC - Clayton,0,15.0090834,0.006696541,0.669654098
90093516,6,0,0,MMC - Clayton,0,5.998871643,-0.004032155,-0.403215486
90094126,22,0,0,MMC - Clayton,0,22.0014667,0.001265876,0.126587569
90094427,39,0,0,MMC - Clayton,0,38.99268193,-0.004055495,-0.405549528
90096616,14,0,0,MMC - Clayton,0,13.99899472,0.003363153,0.336315324
90096638,7,0,0,MMC - Clayton,0,6.995160118,0.005246865,0.524686471
90097777,2,0,0,MMC - Clayton,0,1.992704362,-0.004996534,-0.499653407
90097823,13,0,0,MMC - Clayton,0,13.0029477,-0.005694774,-0.569477395
90098181,38,0,0,MMC - Clayton,0,38.00917961,0.006419891,0.641989113
90098744,39,0,0,MMC - Clayton,0,38.99170885,-0.007873732,-0.787373155
90098792,6,1,0.17,MMC - Clayton,17,6.006769736,0.166256798,16.62567979
90099597,1,0,0,MMC - Clayton,0,1.001359651,-0.006752307,-0.675230745
90099752,26,0,0,MMC - Clayton,0,25.99700695,-0.001054115,-0.105411516
90100582,26,0,0,MMC - Clayton,0,25.99918578,-0.009862142,-0.986214226
90101121,3,0,0,MMC - Clayton,0,2.995184683,-0.0027604,-0.27604004
90101122,14,0,0,MMC - Clayton,0,14.00399926,-0.006832157,-0.683215654
90101274,55,0,0,MMC - Clayton,0,54.99942632,-0.008263968,-0.82639684
90102464,1,0,0,MMC - Clayton,0,0.997444088,-0.002419019,-0.241901878
90102876,27,0,0,MMC - Clayton,0,26.99216744,-0.007414595,-0.741459483
90103211,1,0,0,MMC - Clayton,0,0.991160632,-0.005071165,-0.507116506
90103318,5,1,0.2,MMC - Clayton,20,4.998259356,0.204810544,20.48105437
90104966,2,0,0,MMC - Clayton,0,2.007154024,-0.00914367,-0.914366953
90104983,8,0,0,MMC - Clayton,0,7.995155541,0.006336953,0.633695278
90107514,29,0,0,MMC - Clayton,0,28.99942,-0.002948784,-0.294878444
90108333,14,0,0,MMC - Clayton,0,14.00365763,-0.007183892,-0.718389249
90108552,4,0,0,MMC - Clayton,0,3.995541344,0.000293709,0.029370896
90109179,6,0,0,MMC - Clayton,0,6.004182228,0.004133403,0.413340308
90110663,2,0,0,MMC - Clayton,0,2.005695254,-0.00051001,-0.051001001
90111104,1,0,0,MMC - Clayton,0,0.990405287,0.00676478,0.676477969
90111201,11,0,0,MMC - Clayton,0,10.99965844,-0.005015134,-0.501513394
90111262,1,0,0,MMC - Clayton,0,0.992971383,-0.009308964,-0.930896419
90111349,1,0,0,MMC - Clayton,0,1.004161548,0.004407649,0.440764872
90111526,2,0,0,MMC - Clayton,0,2.003584483,0.009834605,0.983460494
90111844,10,0,0,MMC - Clayton,0,10.00667907,-0.001577613,-0.15776131
90112537,1,0,0,MMC - Clayton,0,0.996018966,-0.005332207,-0.533220695
90113108,14,0,0,MMC - Clayton,0,13.99092954,0.001323733,0.132373275
90113497,17,0,0,MMC - Clayton,0,16.99556152,0.005513675,0.55136746
90114450,5,0,0,MMC - Clayton,0,4.997032276,0.007839293,0.783929262
90115768,4,0,0,MMC - Clayton,0,3.997846854,-0.003343456,-0.334345553
90116410,17,0,0,MMC - Clayton,0,16.99597934,-0.009525486,-0.952548626
90117588,13,0,0,MMC - Clayton,0,13.00562748,-0.00830226,-0.830226042
90117635,1,0,0,MMC - Clayton,0,0.993551985,-0.003119208,-0.311920813
90118416,14,0,0,MMC - Clayton,0,13.99109075,9.41721E-05,0.009417215
90119011,1,0,0,MMC - Clayton,0,0.992546826,-0.005629474,-0.562947407
90119285,20,0,0,MMC - Clayton,0,19.99160566,-0.008364935,-0.836493546
90119577,96,1,0.01,MMC - Clayton,1,96.00534974,0.007109169,0.710916928
90119823,20,0,0,MMC - Clayton,0,19.99244628,-0.002162692,-0.216269166
90119848,6,0,0,MMC - Clayton,0,5.992435599,-0.00844264,-0.844263953
90119859,3,0,0,MMC - Clayton,0,2.994543344,0.005987176,0.598717642
90119860,4,0,0,MMC - Clayton,0,3.995750097,-0.008295065,-0.829506469
90119901,11,0,0,MMC - Clayton,0,10.99804042,-0.007028534,-0.702853444
90119988,8,0,0,MMC - Clayton,0,8.004070346,0.003201904,0.320190405
90121871,10,0,0,MMC - Clayton,0,10.00958883,0.003688316,0.368831559
90122677,49,0,0,MMC - Clayton,0,48.99226718,-0.009622351,-0.962235052
90123243,1,0,0,MMC - Clayton,0,0.994923257,0.008213463,0.821346272
90123249,15,0,0,MMC - Clayton,0,15.00679646,0.006328569,0.632856853
90123309,3,0,0,MMC - Clayton,0,3.008420444,0.008583238,0.858323792
90123339,26,0,0,MMC - Clayton,0,26.00064746,0.001694411,0.169441116
90124438,48,0,0,MMC - Clayton,0,48.00216328,-0.003477183,-0.347718286
90124446,10,0,0,MMC - Clayton,0,9.999994501,-0.001416968,-0.141696752
90124447,14,2,0.14,MMC - Clayton,14,13.99356512,0.134115942,13.41159419
90124476,24,0,0,MMC - Clayton,0,23.99302378,0.005501328,0.550132788
90124487,3,0,0,MMC - Clayton,0,2.997139869,-0.009986464,-0.998646446
90124491,3,0,0,MMC - Clayton,0,3.006520456,0.007752676,0.775267605
90124492,3,1,0.33,MMC - Clayton,33,2.992942899,0.334943444,33.49434437
90124502,2,0,0,MMC - Clayton,0,2.000615398,0.003095947,0.309594702
90124505,21,0,0,MMC - Clayton,0,20.99973539,-0.00209565,-0.20956498
90124517,4,0,0,MMC - Clayton,0,3.999033269,-0.002984324,-0.298432412
90124523,15,0,0,MMC - Clayton,0,15.0008365,-0.004036035,-0.403603522
90124524,33,0,0,MMC - Clayton,0,32.99280936,-0.0032031,-0.320309959
90124526,41,0,0,MMC - Clayton,0,40.99516947,0.00317453,0.317453023
90124543,4,0,0,MMC - Clayton,0,4.003859249,0.00873487,0.873487012
90124546,5,0,0,MMC - Clayton,0,4.993009635,-0.004401706,-0.440170596
90124556,16,0,0,MMC - Clayton,0,16.00638827,0.001468658,0.146865752
90124561,16,0,0,MMC - Clayton,0,16.00825011,0.008763431,0.876343135
90124563,5,0,0,MMC - Clayton,0,4.991428435,-0.003780429,-0.378042908
90124566,8,0,0,MMC - Clayton,0,7.998671619,-0.001038962,-0.103896193
90124581,2,0,0,MMC - Clayton,0,2.008648125,-0.007181459,-0.718145907
90124585,15,1,0.07,MMC - Clayton,7,14.99708799,0.075271133,7.527113305
90124609,63,0,0,MMC - Clayton,0,63.00593883,0.001341748,0.134174841
90124617,6,0,0,MMC - Clayton,0,6.009529519,-0.008451751,-0.845175127
90124621,37,0,0,MMC - Clayton,0,36.99883555,-0.001249401,-0.124940072
90124633,5,0,0,MMC - Clayton,0,4.992946945,-0.009107236,-0.910723556
90124637,6,0,0,MMC - Clayton,0,5.99041331,0.002098464,0.209846428
90124682,8,0,0,MMC - Clayton,0,7.99219051,0.003206673,0.320667338
90124698,14,0,0,MMC - Clayton,0,14.00350856,-0.005467115,-0.546711475
90124937,7,0,0,MMC - Clayton,0,7.007462691,1.21566E-05,0.00121566
90124938,3,0,0,MMC - Clayton,0,3.008987194,0.001610309,0.161030882
90127264,4,0,0,MMC - Clayton,0,3.996904979,-0.001538584,-0.153858448
