Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90052734,2,MMC- Clayton,0,0,2.000663975,-0.003967191
90052916,13,MMC- Clayton,1,7,13.00338693,7.00412358
90053418,2,MMC- Clayton,0,0,1.997998479,0.003634332
90053753,13,MMC- Clayton,0,0,12.99757793,-0.00143291
90056255,11,MMC- Clayton,1,9,11.0013803,8.995954125
90057250,1,MMC- Clayton,0,0,0.996574318,0.000828688
90057415,3,MMC- Clayton,0,0,2.997677658,-0.003650683
90058180,4,MMC- Clayton,0,0,3.996891014,0.000290022
90058333,6,MMC- Clayton,0,0,6.000756367,-0.002767988
90059331,7,MMC- Clayton,0,0,6.998559083,-0.003580588
90059584,34,MMC- Clayton,1,2,34.00414257,2.00396005
90059876,1,MMC- Clayton,0,0,0.998661834,-0.001878329
90060546,4,MMC- Clayton,1,25,3.998607328,24.99584014
90060945,1,MMC- Clayton,0,0,0.995727835,-0.001282131
90060950,29,MMC- Clayton,2,6,29.00126893,5.999643789
90061220,15,MMC- Clayton,0,0,14.99848671,0.001843837
90062205,68,MMC- Clayton,2,2,68.00422672,1.99932524
90066524,42,MMC- Clayton,4,9,42.00102815,8.996093664
90067536,5,MMC- Clayton,0,0,4.998336394,-0.004672549
90070093,52,MMC- Clayton,0,0,52.0017218,-0.000294193
90071676,3,MMC- Clayton,0,0,3.002915012,0.001102098
90071914,1,MMC- Clayton,0,0,0.995688997,-0.001347378
90072373,37,MMC- Clayton,1,2,37.00464469,2.000326568
90074642,16,MMC- Clayton,2,12,16.0009079,12.00432514
90075008,48,MMC- Clayton,3,6,47.99935774,6.000800114
90075334,27,MMC- Clayton,1,3,26.99557072,2.995583624
90075767,3,MMC- Clayton,0,0,3.002472028,-2.08239E-05
90075796,4,MMC- Clayton,0,0,4.000770526,0.003004817
90076693,11,MMC- Clayton,0,0,10.99957156,-0.004178794
90076797,18,MMC- Clayton,0,0,18.0015273,0.000797339
90077401,40,MMC- Clayton,4,10,40.00349429,9.998510067
90077920,5,MMC- Clayton,0,0,4.998585894,0.004107943
90078071,32,MMC- Clayton,3,9,31.99864329,9.003320043
90078705,51,MMC- Clayton,6,11,50.99891568,11.00042688
90078787,4,MMC- Clayton,1,25,3.998841552,24.99735309
90078814,7,MMC- Clayton,0,0,6.997875828,0.000457517
90079546,26,MMC- Clayton,0,0,26.00059225,0.001448108
90080314,3,MMC- Clayton,0,0,2.998494095,0.004796682
90080745,17,MMC- Clayton,0,0,17.00136837,-0.002578159
90081325,51,MMC- Clayton,2,3,51.00193062,3.000770598
90081556,11,MMC- Clayton,1,9,10.99594399,8.99769979
90081588,2,MMC- Clayton,0,0,1.995430314,0.004189739
90081957,20,MMC- Clayton,0,0,20.00098955,-0.00339458
90082317,15,MMC- Clayton,0,0,14.99885267,-0.001689962
90082515,7,MMC- Clayton,1,14,7.004595115,13.99937796
90082606,3,MMC- Clayton,0,0,3.002697822,-1.30483E-05
90082724,8,MMC- Clayton,0,0,8.001071241,-0.000502879
90083027,19,MMC- Clayton,0,0,18.99583282,-0.002676837
90083266,38,MMC- Clayton,2,5,37.99912106,5.002891209
90085043,3,MMC- Clayton,0,0,2.99581738,-0.002476179
90085898,23,MMC- Clayton,2,8,22.99986332,8.003518026
90086088,4,MMC- Clayton,0,0,4.000704747,-0.003587376
90086232,5,MMC- Clayton,1,20,5.00172391,20.0030084
90088695,3,MMC- Clayton,0,0,2.995989686,0.002569735
90091034,2,MMC- Clayton,0,0,1.998624853,-0.000483891
90093120,18,MMC- Clayton,1,5,17.99503529,5.000948119
90093190,15,MMC- Clayton,0,0,15.00394248,0.000723768
90093516,6,MMC- Clayton,0,0,6.001411634,-0.00423595
90094126,22,MMC- Clayton,0,0,22.0048858,-0.001410831
90094427,39,MMC- Clayton,3,7,39.00224044,6.999218253
90096616,14,MMC- Clayton,2,14,14.00172921,14.00314508
90096638,7,MMC- Clayton,1,14,6.997434494,14.00040823
90097777,2,MMC- Clayton,0,0,2.001827284,0.00290929
90097823,13,MMC- Clayton,0,0,13.0014778,0.002526686
90098181,38,MMC- Clayton,0,0,37.99976843,0.001880285
90098744,39,MMC- Clayton,0,0,38.99911266,-0.002460163
90098792,6,MMC- Clayton,1,16,5.997156036,15.99745726
90099597,1,MMC- Clayton,0,0,1.001900744,0.003625033
90099752,26,MMC- Clayton,1,3,25.99677776,3.002431024
90100582,26,MMC- Clayton,2,7,25.99514293,7.004372652
